CMDLINE python example_L2T_STARS_with_download.py
MEM 2284.437500 1733254030.0733
MEM 2284.437500 1733254030.1785
MEM 2284.437500 1733254030.2813
MEM 2284.437500 1733254030.3865
MEM 2284.437500 1733254030.4918
MEM 2284.437500 1733254030.5970
MEM 2284.437500 1733254030.7021
MEM 2284.437500 1733254030.8042
MEM 2284.437500 1733254030.9048
MEM 2284.437500 1733254031.0100
MEM 2284.437500 1733254031.1151
MEM 2284.437500 1733254031.2204
MEM 2284.437500 1733254031.3255
MEM 2284.437500 1733254031.4308
MEM 2284.437500 1733254031.5313
MEM 2284.437500 1733254031.6366
MEM 2284.437500 1733254031.7383
MEM 2284.437500 1733254031.8435
MEM 2284.437500 1733254031.9487
MEM 2284.437500 1733254032.0540
MEM 2284.437500 1733254032.1592
MEM 2284.437500 1733254032.2644
MEM 2284.437500 1733254032.3696
MEM 2284.437500 1733254032.4748
MEM 2284.437500 1733254032.5800
MEM 2284.437500 1733254032.6852
MEM 2284.437500 1733254032.7904
MEM 2284.437500 1733254032.8906
MEM 2284.437500 1733254032.9958
MEM 2284.437500 1733254033.0999
MEM 2284.437500 1733254033.2051
MEM 2284.437500 1733254033.3104
MEM 2284.437500 1733254033.4131
MEM 2284.437500 1733254033.5184
MEM 2284.437500 1733254033.6231
MEM 2284.437500 1733254033.7284
MEM 2284.437500 1733254033.8316
MEM 2284.437500 1733254033.9368
MEM 2284.437500 1733254034.0421
MEM 2284.437500 1733254034.1473
MEM 2284.437500 1733254034.2526
MEM 2284.437500 1733254034.3578
MEM 2284.437500 1733254034.4630
MEM 2284.437500 1733254034.5683
MEM 2284.437500 1733254034.6735
MEM 2284.437500 1733254034.7787
MEM 2284.437500 1733254034.8839
MEM 2284.437500 1733254034.9892
MEM 2284.437500 1733254035.0944
MEM 2284.437500 1733254035.1995
MEM 2284.437500 1733254035.3047
MEM 2284.437500 1733254035.4099
MEM 2284.437500 1733254035.5151
MEM 2284.437500 1733254035.6203
MEM 2284.437500 1733254035.7255
MEM 2284.437500 1733254035.8264
MEM 2284.437500 1733254035.9316
MEM 2284.437500 1733254036.0330
MEM 2284.437500 1733254036.1382
MEM 2284.437500 1733254036.2434
MEM 2284.437500 1733254036.3487
MEM 2284.437500 1733254036.4539
MEM 2284.437500 1733254036.5591
MEM 2284.437500 1733254036.6643
MEM 2284.437500 1733254036.7695
MEM 2284.437500 1733254036.8747
MEM 2284.437500 1733254036.9799
MEM 2284.437500 1733254037.0851
MEM 2284.437500 1733254037.1903
MEM 2284.437500 1733254037.2956
MEM 2284.437500 1733254037.4008
MEM 2284.437500 1733254037.5048
MEM 2284.437500 1733254037.6101
MEM 2284.437500 1733254037.7153
MEM 2284.437500 1733254037.8204
MEM 2284.437500 1733254037.9257
MEM 2284.437500 1733254038.0259
MEM 2284.437500 1733254038.1311
MEM 2284.437500 1733254038.2364
MEM 2284.437500 1733254038.3377
MEM 2284.437500 1733254038.4429
MEM 2284.437500 1733254038.5482
MEM 2284.437500 1733254038.6535
MEM 2284.437500 1733254038.7587
MEM 2284.437500 1733254038.8609
MEM 2284.437500 1733254038.9661
MEM 2284.437500 1733254039.0715
MEM 2284.437500 1733254039.1734
MEM 2284.437500 1733254039.2746
MEM 2284.437500 1733254039.3800
MEM 2284.437500 1733254039.4814
MEM 2284.437500 1733254039.5824
MEM 2284.437500 1733254039.6876
MEM 2284.437500 1733254039.7928
MEM 2284.437500 1733254039.8930
MEM 2284.437500 1733254039.9983
MEM 2284.437500 1733254040.1034
MEM 2284.437500 1733254040.2086
MEM 2284.437500 1733254040.3138
MEM 2284.437500 1733254040.4170
MEM 2284.437500 1733254040.5222
MEM 2284.437500 1733254040.6269
MEM 2284.437500 1733254040.7321
MEM 2284.437500 1733254040.8325
MEM 2284.437500 1733254040.9377
MEM 2284.437500 1733254041.0431
MEM 2284.437500 1733254041.1483
MEM 2284.437500 1733254041.2535
MEM 2284.437500 1733254041.3586
MEM 2284.437500 1733254041.4619
MEM 2284.437500 1733254041.5649
MEM 2284.437500 1733254041.6702
MEM 2284.437500 1733254041.7754
MEM 2284.437500 1733254041.8806
MEM 2284.437500 1733254041.9858
MEM 2284.437500 1733254042.0911
MEM 2284.437500 1733254042.1963
MEM 2284.437500 1733254042.3009
MEM 2284.437500 1733254042.4060
MEM 2284.437500 1733254042.5113
MEM 2284.437500 1733254042.6165
MEM 2284.437500 1733254042.7218
MEM 2284.437500 1733254042.8270
MEM 2284.437500 1733254042.9323
MEM 2284.437500 1733254043.0375
MEM 2284.437500 1733254043.1427
MEM 2284.437500 1733254043.2480
MEM 2284.437500 1733254043.3531
MEM 2284.437500 1733254043.4584
MEM 2284.437500 1733254043.5635
MEM 2284.437500 1733254043.6661
MEM 2284.437500 1733254043.7713
MEM 2284.437500 1733254043.8765
MEM 2284.437500 1733254043.9817
MEM 2284.437500 1733254044.0869
MEM 2284.437500 1733254044.1922
MEM 2284.437500 1733254044.2974
MEM 2284.437500 1733254044.4027
MEM 2284.437500 1733254044.5079
MEM 2284.437500 1733254044.6131
MEM 2284.437500 1733254044.7153
MEM 2284.437500 1733254044.8205
MEM 2284.437500 1733254044.9257
MEM 2284.437500 1733254045.0309
MEM 2284.437500 1733254045.1362
MEM 2284.437500 1733254045.2415
MEM 2284.437500 1733254045.3418
MEM 2284.437500 1733254045.4470
MEM 2284.437500 1733254045.5522
MEM 2284.437500 1733254045.6575
MEM 2284.437500 1733254045.7627
MEM 2284.437500 1733254045.8670
MEM 2284.437500 1733254045.9723
MEM 2284.437500 1733254046.0775
MEM 2284.437500 1733254046.1828
MEM 2284.437500 1733254046.2880
MEM 2284.437500 1733254046.3934
MEM 2284.437500 1733254046.4985
MEM 2284.437500 1733254046.6037
MEM 2284.437500 1733254046.7090
MEM 2284.437500 1733254046.8142
MEM 2284.437500 1733254046.9194
MEM 2284.437500 1733254047.0246
MEM 2284.437500 1733254047.1299
MEM 2284.437500 1733254047.2352
MEM 2284.437500 1733254047.3404
MEM 2284.437500 1733254047.4457
MEM 2284.437500 1733254047.5509
MEM 2284.437500 1733254047.6562
MEM 2284.437500 1733254047.7614
MEM 2284.437500 1733254047.8666
MEM 2284.437500 1733254047.9719
MEM 2284.437500 1733254048.0771
MEM 2284.437500 1733254048.1824
MEM 2284.437500 1733254048.2876
MEM 2284.437500 1733254048.3928
MEM 2284.437500 1733254048.4979
MEM 2284.437500 1733254048.6032
MEM 2284.437500 1733254048.7083
MEM 2284.437500 1733254048.8136
MEM 2284.437500 1733254048.9144
MEM 2284.437500 1733254049.0167
MEM 2284.437500 1733254049.1220
MEM 2284.437500 1733254049.2273
MEM 2284.437500 1733254049.3326
MEM 2284.437500 1733254049.4334
MEM 2284.437500 1733254049.5353
MEM 2284.437500 1733254049.6405
MEM 2284.437500 1733254049.7457
